parcel index,area name,main section
1,V1,1
2,MST,5
3,V6,3
4,V2,2
5,V3,2
6,V4,2
7,V8,4
8,4,6
9,3b,6
10,FEF,8
11,PEF,8
12,55b,8
13,V3A,3
14,RSC,18
15,POS2,18
16,V7,3
17,IPS1,3
18,FFC,4
19,V3B,3
20,LO1,5
21,LO2,5
22,PIT,4
23,MT,5
24,A1,10
25,PSL,15
26,SFL,22
27,PCV,18
28,STV,15
29,7Pm,16
30,7m,18
31,POS1,18
32,23d,18
33,v23ab,18
34,d23ab,18
35,31pv,18
36,5m,7
37,5mv,7
38,23c,18
39,5L,7
40,24dd,7
41,24dv,7
42,7AL,16
43,SCEF,7
44,6ma,7
45,7Am,16
46,7PL,16
47,7PC,16
48,LIPv,16
49,VIP,16
50,MIP,16
51,1,6
52,2,6
53,3a,6
54,6d,8
55,6mp,7
56,6v,8
57,p24pr,19
58,33pr,19
59,a24pr,19
60,p32pr,19
61,a24,19
62,d32,19
63,8BM,19
64,p32,19
65,10r,19
66,47m,20
67,8Av,22
68,8Ad,22
69,9m,19
70,8BL,22
71,9p,22
72,10d,20
73,8C,22
74,44,21
75,45,21
76,47l,21
77,a47r,20
78,6r,8
79,IFJa,21
80,IFJp,21
81,IFSp,21
82,IFSa,21
83,p9-46v,22
84,46,22
85,a9-46v,22
86,9-46d,22
87,9a,22
88,10v,19
89,a10p,20
90,10pp,20
91,11l,20
92,13l,20
93,OFC,20
94,47s,20
95,LIPd,16
96,6a,8
97,i6-8,22
98,s6-8,22
99,43,9
100,OP4,9
101,OP1,9
102,OP2-3,9
103,52,12
104,RI,10
105,PFcm,9
106,PoI2,12
107,TA2,11
108,FOP4,12
109,MI,12
110,Pir,12
111,AVI,12
112,AAIC,12
113,FOP1,9
114,FOP3,12
115,FOP2,12
116,PFt,17
117,AIP,16
118,EC,13
119,PreS,13
120,H,13
121,ProS,18
122,PeEc,13
123,STGa,11
124,PBelt,10
125,A5,11
126,PHA1,13
127,PHA3,13
128,STSda,11
129,STSdp,11
130,STSvp,11
131,TGd,14
132,TE1a,14
133,TE1p,14
134,TE2a,14
135,TF,14
136,TE2p,14
137,PHT,14
138,PH,5
139,TPOJ1,15
140,TPOJ2,15
141,TPOJ3,15
142,DVT,18
143,PGp,17
144,IP2,17
145,IP1,17
146,IP0,17
147,PFop,17
148,PF,17
149,PFm,17
150,PGi,17
151,PGs,17
152,V6A,3
153,VMV1,4
154,VMV3,4
155,PHA2,13
156,V4t,5
157,FST,5
158,V3CD,5
159,LO3,5
160,VMV2,4
161,31pd,18
162,31a,18
163,VVC,4
164,25,19
165,s32,19
166,pOFC,20
167,PoI1,12
168,Ig,12
169,FOP5,12
170,p10p,20
171,p47r,21
172,TGv,14
173,MBelt,10
174,LBelt,10
175,A4,11
176,STSva,11
177,TE1m,14
178,PI,12
179,a32pr,19
180,p24,19
