index,name
1,primary visual cortex
2,early visual cortex
3,dorsal stream visual cortex
4,ventral stream visual cortex
5,MT+ complex and neighboring visual areas
6,somatosensory and motor cortex
7,paracentral lobular and mid cingulate cortex
8,premotor cortex
9,posterior opercular cortex
10,early auditory cortex
11,auditory association cortex
12,insular and frontal opercular cortex
13,medial temporal cortex
14,lateral temporal cortex
15,temporo-parieto-occipital junction
16,superior parietal cortex
17,inferior parietal cortex
18,posterior cingulate cortex
19,anterior cingulate and medial prefrontal cortex
20,orbital and polar frontal cortex
21,inferior frontal cortex
22,dorsolateral prefrontal cortex
